elec_id,country,date,presidential,legislative_type,elecrule,tier1_formula,tier2_formula,tier3_formula,tier4_formula,mixed_type,multi,multi_linked,seats,tier1_avemag,tier1_districts,upperseats,uppertier,tier2_districts,tier3_districts,tier4_districts,enep,enep_others,enep1,enpp,enpp_others,enpp1,majority_bonus,enpres,preselecrule,region1,region2,region3,aclp_code,ccode,ccode2,year,month,day,regime,bmr_democracy,fh_democracy,p5_democracy,vd_polyarchy,dd_democracy,secondround,thirdround,Source,Additional.Sources,Comment
L-ALB-1997-6-29,Albania,"June 29, 1997",0,3,12,4,13,NA,NA,2,1,0,155,1,115,40,25.8,1,0,0,2.87,0,2.87,2.07,0,2.07,0,NA,NA,9,9,4,143,339,339,1997,6,29,0,1,0,0,0,1,"July 6, 1997",NA,http://cdp.binghamton.edu/era/elections/alb97par.html  Election World,http://www.ifes.org/Content/Publications/Reports/1997/~/media/Files/Publications/VRC/Reports/1997/R01506/R01506.pdf,
L-ALB-2001-6-24,Albania,"June 24, 2001",0,3,11,4,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,3.09,9.8,3.129792891,2.6,2,2.6,0,NA,NA,9,9,4,143,339,339,2001,6,24,0,1,0,0,0,1,"July 8, 2001",NA,"http://cdp.binghamton.edu/era/elections/alb01par.html, Carr",http://www.ifes.org/Content/Publications/Reports/2002/~/media/Files/Publications/VRC/Reports/2002/R01507/R01507.pdf; ElectionGuide.org; Birch: http://www.citizensassembly.gov.on.ca/en-CA/docs/Weekend%20Five/Appendix%20-%20Electoral%20System%20Change%20in%20New%20Democracies.pdf,
L-ALB-2005-7-3,Albania,"July 03, 2005",0,3,11,1,13,NA,NA,4,1,1,140,1,100,40,28.57,1,0,0,10.46,9.6,11.5060119011551,3.75,0.714285714285714,3.75035880589398,0,NA,NA,9,9,4,143,339,339,2005,7,3,0,1,0,1,1,1,NA,NA,Carr,http://www.jus.uio.no/smr/english/about/programmes/nordem/publications/nordem-report/2006/0606.pdf; http://www.osce.org/odihr/elections/albania/14487; Gallagher; Birch: http://www.citizensassembly.gov.on.ca/en-CA/docs/Weekend%20Five/Appendix%20-%20Electoral%20System%20Change%20in%20New%20Democracies.pdf,enep_others calculated as the sum of the votes for others in the districts and votes for others in the PR district divided by total number of votes in both
L-ALB-2009-6-28,Albania,"June 28, 2009",0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,0,0,0,0,3.18,9.9,3.27698442968231,2.6,0,2.6,0,NA,NA,9,9,4,143,339,339,2009,6,28,0,1,0,1,1,1,NA,NA,Carr,http://www.osce.org/odihr/elections/albania/36587; Gallagher; Wikipedia,
L-ALB-2013-6-23,Albania,"June 23, 2013",0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,NA,0,0,0,3.51184,0,3.51184,2.796804,0,2.796804,0,NA,NA,9,9,4,143,339,339,2013,6,23,0,1,0,1,1,1,NA,NA,Carr,ElectionGuide; IPU; idea.int; aceproject,IPU states seats are allocated secondly to parties within a coalition using Sainte-Lagu�
L-ALB-2017-6-25,Albania,"June 25, 2017",0,2,9,25,NA,NA,NA,NA,0,0,140,11.67,12,0,NA,0,0,0,2.9440339152707,0.024,2.94903478091621,2.54677754677755,0,2.54677754677755,0,NA,NA,9,9,4,143,339,339,2017,6,25,0,NA,0,1,1,1,NA,NA,"Freedomhouse, Carr, IPU","Constitutionnet, Electionguide","in 2020, Albania adopted reform of electoral system"
L-AND-1993-12-12,Andorra,"December 12, 1993",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,4.82,0,4.82,4.96,21.43,6.14,0,NA,NA,10,10,3,195,232,232,1993,12,12,0,0,1,0,0,1,NA,NA,"12 December 1993 election date, CIA world factbook http://cdp.binghamton.edu/era/elections/andor93par.html",IDEA handbook; ENEP figures from Wikipedia,ENEP figures calculated from PR lists
L-AND-1997-2-16,Andorra,"February 16, 1997",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.6,8,2.62,2.58,0,2.58,0,NA,NA,10,10,3,195,232,232,1997,2,16,0,1,1,0,0,1,NA,NA,http://cdp.binghamton.edu/era/elections/andor97par.html,IDEA handbook,
L-AND-2001-3-4,Andorra,"March 04, 2001",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,3.28,0,3.28,2.7,0,2.7,0,NA,NA,10,10,3,195,232,232,2001,3,4,0,1,1,0,0,1,NA,NA,"http://cdp.binghamton.edu/era/elections/andor01par.html, Carr",Gallagher; ElectionGuide.org; IDEA handbook,14 members elected in PR at national level 
L-AND-2005-4-24,Andorra,"April 24, 2005",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.77,0,2.77,2.28,0,2.28,0,NA,NA,10,10,3,195,232,232,2005,4,24,0,1,1,0,0,1,NA,NA,Carr,Gallagher; ElectionGuide.org; IDEA handbook,
L-AND-2009-4-26,Andorra,"April 26, 2009",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.94,0,2.94,2.4,0,2.4,0,NA,NA,10,10,3,195,232,232,2009,4,26,0,1,1,0,0,1,NA,NA,Carr,Gallagher; ElectionGuide.org; IDEA handbook,
L-AND-2011-4-3,Andorra,"April 03, 2011",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,2.32,0,2.32,1.78,0,1.78,0,NA,NA,10,10,3,195,232,232,2011,4,3,0,1,1,0,0,1,NA,NA,Carr,ElectionGuide.org; IDEA handbook; http://www.osce.org/odihr/elections/76277,
L-AND-2015-3-1,Andorra,"March 01, 2015",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,3.539284,0,3.539284,2.596026,0,2.596026,0,NA,NA,10,10,3,195,232,232,2015,3,1,0,1,1,0,0,1,NA,NA,IPU,idea.int/db; Carr; electionpassport; aceproject.org,
L-AND-2019-4-7,Andorra,"April 07, 2019",0,3,12,9,13,NA,NA,2,1,0,28,2,7,14,50,1,0,0,4.01704835321103,0,4.01704835321103,3.80582524271845,0,3.80582524271845,0,NA,NA,10,10,3,195,232,232,2019,4,7,0,NA,1,NA,0,1,NA,NA,"Freedomhouse, Carr, IPU",Wikipedia,
L-ARG-1946-2-24,Argentina,"February 24, 1946",0,1,7,10,NA,NA,NA,NA,0,0,158,10.53,15,0,0,0,0,0,5.19,13.8,5.75,3.69,6.3,3.74,0,NA,NA,7,7,7,66,160,160,1946,2,24,2,0,NA,0,0,1,NA,NA,Lijphart Elections Archive http://dodgson.ucsd.edu/lij/southamerica/argentina/ Nohlen et al.,,
L-ARG-1948-3-7,Argentina,"March 07, 1948",0,1,7,10,NA,NA,NA,NA,0,0,158,5.27,15,0,0,0,0,0,-99,-99,-99,1.75,0,1.75,0,NA,NA,7,7,7,66,160,160,1948,3,7,2,0,NA,0,0,1,NA,NA,"Washington Post, March 7, 1948, p. M9 Nohlen et al.",,
L-ARG-1951-11-11,Argentina,"November 11, 1951",0,1,1,1,NA,NA,NA,NA,0,0,149,1.07,139,0,0,0,0,0,1.97,0,1.97,1.21,0,1.21,0,NA,NA,7,7,7,66,160,160,1951,11,11,2,0,NA,0,0,1,NA,NA,Lijphart Elections Archive http://dodgson.ucsd.edu/lij/southamerica/argentina/ Nohlen et al.,,
L-ARG-1954-4-25,Argentina,"April 25, 1954",0,1,1,1,NA,NA,NA,NA,0,0,157,1.03,152,0,0,0,0,0,1.93,0,1.93,1.26,0,1.26,0,NA,NA,7,7,7,66,160,160,1954,4,25,2,0,NA,0,0,1,NA,NA,"NYT, April 25, 1954, p.E.10 Nohlen et al.",,
L-ARG-1958-2-23,Argentina,"February 23, 1958",0,1,7,10,NA,NA,NA,NA,0,0,187,8.13,23,0,0,0,0,0,2.83,8.3,2.885,1.72,0,1.72,0,NA,NA,7,7,7,66,160,160,1958,2,23,2,1,NA,0,0,1,NA,NA,Lijphart Elections Archive http://dodgson.ucsd.edu/lij/southamerica/argentina/ Nohlen et al.,,
L-ARG-1960-3-27,Argentina,"March 27, 1960",0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.93,14.5,5.485,2.12,1,2.12,0,NA,NA,7,7,7,66,160,160,1960,3,27,2,1,NA,0,0,1,NA,NA,"NYT, March 27, 1960, p. 35 Nohlen et al.",,
L-ARG-1962-3-18,Argentina,"March 18, 1962",0,1,7,10,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,5.49,20.1,7.05,-99,-99,-99,0,NA,NA,7,7,7,66,160,160,1962,3,18,4,0,NA,0,0,1,NA,NA,"NYT, March 4, 1962, p.30 Nohlen et al.",,
L-ARG-1963-7-7,Argentina,"July 07, 1963",0,2,9,25,NA,NA,NA,NA,0,0,192,8.35,23,0,0,0,0,0,5.57,11.1,5.98,4.87,8.9,5.06,0,NA,NA,7,7,7,66,160,160,1963,7,7,2,1,NA,1,0,1,NA,NA,Lijphart Elections Archive http://dodgson.ucsd.edu/lij/southamerica/argentina/ Nohlen et al.,,
L-ARG-1965-3-17,Argentina,"March 17, 1965",0,2,9,25,NA,NA,NA,NA,0,0,192,4.17,23,0,0,0,0,0,4.87,10.6,5.155,4.62,1.6,4.62,0,NA,NA,7,7,7,66,160,160,1965,3,17,2,1,NA,1,1,1,NA,NA,Keesing's Nohlen et al.,,
L-ARG-1973-3-11,Argentina,"March 11, 1973",0,2,9,25,NA,NA,NA,NA,0,0,243,10.13,24,0,0,0,0,0,3.19,0.2,3.19,2.9,6.2,2.94,0,NA,NA,7,7,7,66,160,160,1973,3,11,2,1,1,1,0,1,NA,NA,Keesing's (second leg) Nohlen et al.,,
L-ARG-1983-10-30,Argentina,"October 30, 1983",0,2,9,25,NA,NA,NA,NA,0,0,254,10.58,24,0,0,0,0,0,2.63,0,2.63,2.19,0,2.19,0,NA,NA,7,7,7,66,160,160,1983,10,30,2,1,0,1,0,1,NA,NA,Adam Carr's website Nohlen et al.,,
L-ARG-1985-11-3,Argentina,"November 03, 1985",0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,4.24,1.9,4.24,3.36,0,3.36,0,NA,NA,7,7,7,66,160,160,1985,11,3,2,1,1,1,1,1,NA,NA,Adam Carr's website Nohlen et al.,,
L-ARG-1987-9-6,Argentina,"September 06, 1987",0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,23,0,0,0,0,0,3.14,0.75,3.14,2.63,0,2.63,0,NA,NA,7,7,7,66,160,160,1987,9,6,2,1,1,1,1,1,NA,NA,Keesing's Nohlen et al.,,
L-ARG-1989-5-14,Argentina,"May 14, 1989",0,2,9,25,NA,NA,NA,NA,0,0,254,5.29,24,0,0,0,0,0,3.35,0.66,3.35,2.71,0,2.71,0,NA,NA,7,7,7,66,160,160,1989,5,14,2,1,1,1,1,1,NA,NA,CIA world factbook Nohlen et al.,,
L-ARG-1991-10-27,Argentina,"October 27, 1991",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.57,1.07,3.57,2.91,4.76,2.93,0,NA,NA,7,7,7,66,160,160,1991,10,27,2,1,1,1,1,1,NA,NA,"Keesing's. Three rounds of elections, this is the last one. http://cdp.binghamton.edu/era/elections/arg91par.html http://muse.jhu.edu/journals/journal_of_democracy/election_watch/v003/index.html http://muse.jhu.edu/journals/journal_of_democracy/election_watch/v002/#v002.2 Nohlen et al.",,
L-ARG-1993-10-3,Argentina,"October 03, 1993",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.37,0.53,3.37,2.7,0,2.7,0,NA,NA,7,7,7,66,160,160,1993,10,3,2,1,1,1,1,1,NA,NA,Keesing's,,
L-ARG-1995-5-14,Argentina,"May 14, 1995",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.58,1.65,3.58,2.81,0.77,2.81,0,NA,NA,7,7,7,66,160,160,1995,5,14,2,1,1,1,1,1,NA,NA,Keesing's,nohlen 2005,
L-ARG-1997-10-26,Argentina,"October 26, 1997",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,3.65,5.83,3.65,3.33,0,3.33,0,NA,NA,7,7,7,66,160,160,1997,10,26,2,1,1,1,1,1,NA,NA,Keesing's,nohlen 2005,
L-ARG-1999-10-24,Argentina,"October 24, 1999",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.15,8.61,3.225,2.57,0,2.57,0,NA,NA,7,7,7,66,160,160,1999,10,24,2,1,1,1,1,1,NA,NA,http://psephos.adam-carr.net/resources/historical_elections.shtml,nohlen 2005,
L-ARG-2001-10-14,Argentina,"October 14, 2001",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,4.66,10.3,4.86939408135568,2.84,0.389105058365759,2.84006106032508,0,NA,NA,7,7,7,66,160,160,2001,10,14,2,1,0,1,1,1,NA,NA,Carr,Clea Codebook; Georgetown election archive: http://pdba.georgetown.edu/Elecdata/Arg/cong01.html; nohlen 2005,Argentine only elects half its deputies every two years; Election Guide reports 130 members but all other sources agree on 127 elected this year; ENEP numbers based on the vote share of the elected; enpp numbers based on the seat share of the entire parliament
L-ARG-2003-4-27,Argentina,"April 27, 2003",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,4.61,25.8,6.61700491059394,4.09,5.05836575875486,4.12464933997993,0,NA,NA,7,7,7,66,160,160,2003,4,27,2,1,1,1,1,1,NA,NA,Carr,Clea Codebook; nohlen 2005,129 elected this election
L-ARG-2005-10-23,Argentina,"October 23, 2005",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,6.16,21.5,8.57282332216644,5.81,2.72373540856031,5.82590650539847,0,NA,NA,7,7,7,66,160,160,2005,10,23,2,1,1,1,1,1,NA,NA,Carr,ElectionGuide.org; clea codebook; nohlen 2005,127 deputies elected
L-ARG-2007-10-28,Argentina,"October 28, 2007",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,-99,-99,-99,3.19,7.39299610894942,3.47467957602625,0,NA,NA,7,7,7,66,160,160,2007,10,28,2,1,1,1,1,1,NA,NA,Georgetown election archive: http://pdba.georgetown.edu/Elecdata/Arg/cong01.html,ElectionGuide.org; clea codebook; ,No proportion of votes available; could be calculated from Carr; go back to this later; 130 deputies elected
L-ARG-2009-6-28,Argentina,"June 28, 2009",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,0,0,0,0,6.62,17.5,7.34,3.89,9.33852140077821,3.95829896270645,0,NA,NA,7,7,7,66,160,160,2009,6,28,2,1,1,1,1,1,NA,NA,Georgetown election archive: http://pdba.georgetown.edu/Elecdata/Arg/cong01.html,electionguide.org; Carr,127 deputies elected; ENEP figures are calculated after disaggregating the party blocs
L-ARG-2011-10-23,Argentina,"October 23, 2011",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,0,0,0,0,3.75,30,4.53,4.28,2,4.28,0,NA,NA,7,7,7,66,160,160,2011,10,23,2,1,1,1,1,1,NA,NA,http://pdba.georgetown.edu/Elecdata/Arg/leg11.html,Wikipedia via IPU,130 deputies elected
L-ARG-2013-10-27,Argentina,"October 27, 2013",0,2,9,25,NA,NA,NA,NA,0,0,257,5.29,24,0,NA,0,0,0,4.652134,0,4.652134,4.343927,0,4.343927,0,NA,NA,7,7,7,66,160,160,2013,10,27,2,1,1,1,1,1,NA,NA,Carr,ElectionGuide.org; Wikipedia,
L-ARG-2015-10-25,Argentina,"October 25, 2015",0,2,9,25,NA,NA,NA,NA,0,0,257,5.42,24,0,NA,0,0,0,-99,-99,-99,3.070862,0,3.070862,0,NA,NA,7,7,7,66,160,160,2015,10,25,2,1,1,1,1,1,NA,NA,ElectionGuide.org,Wikipedia; Elecciones.gob.ar,Party vote shares are released regionally- so no national vote shares are available; however- national vote shares for the main electoral alliances are available under 'Parlamentarios Nacionales' at elecciones.gob.ar/articulo_princ.php?secc=2&sub_secc=55
L-ARG-2017-10-22,Argentinia,"October 22, 2017",0,2,9,25,NA,NA,NA,NA,0,0,257,10.71,24,0,NA,0,0,0,4.10906223680172,0,4.10906223680172,3.15340442986054,0,3.15340442986054,0,NA,NA,7,7,7,66,160,160,2017,10,22,2,NA,1,1,1,1,NA,NA,"Carr, IPU",,Electionguide says 22.10.2017 as election date
L-ARG-2019-10-27,Argentinia,"October 27, 2019",0,2,9,25,NA,NA,NA,NA,0,0,257,10.71,24,0,NA,0,0,0,2.5841061296522,0.016,2.5858167280156,2.35931416324344,0.019455252918288,2.3614229531641,0,NA,NA,7,7,7,66,160,160,2019,10,27,2,NA,1,NA,1,1,NA,NA,"Carr, Wikipedia, ElectionGuide",,
L-ARM-1995-7-5,Armenia,"July 05, 1995",0,3,12,3,13,NA,NA,2,1,0,190,1,150,40,21.05,1,0,0,4.18,6.11,4.235,2.21,23.68,2.52,0,NA,NA,9,9,4,145,371,371,1995,7,5,1,0,0,0,0,1,"July 29, 1995",NA,CIA world factbook Nohlen et al.,,
L-ARM-1999-5-30,Armenia,"May 30, 1999",0,3,12,1,13,NA,NA,2,1,0,131,1,75,56,42.74,1,0,0,4.77,0,4.77,3.97,0,3.97,0,NA,NA,9,9,4,145,371,371,1999,5,30,1,0,0,0,0,1,NA,NA,CIA world factbook Nohlen et al.,,
L-ARM-2003-5-23,Armenia,"May 23, 2003",0,3,12,1,13,NA,NA,2,1,0,131,1,56,75,57.25,1,0,0,5.33,0.33,9.35196265814148,9.11,27.4809160305344,28.1132180928767,0,NA,NA,9,9,4,145,371,371,2003,5,23,1,0,0,0,0,1,NA,NA,ElectionGuide.org,Moser & Scheiner (2004);  Carr; http://www.osce.org/odihr/elections/armenia/42371,
L-ARM-2007-5-12,Armenia,"May 12, 2007",0,3,12,1,13,NA,NA,2,1,0,131,1,41,90,68.7,1,0,0,5.26,18.3,6.25581717114716,3.37,12.9770992366412,3.52441393711587,0,NA,NA,9,9,4,145,371,371,2007,5,12,1,0,0,0,0,1,NA,NA,Carr,ElectionGuide.org; Wikipedia; Moser & Scheiner (2004),http://www.venice.coe.int/docs/2007/CDL-EL%282007%29010-e.pdf; Wikipedia and Carr report slightly different percentages of votes received by each party though they cite the same source- I relied on Carr
L-ARM-2012-5-6,Armenia,"May 06, 2012",0,3,12,1,13,NA,NA,2,1,0,131,1,41,90,68.70229,1,0,0,3.336536,0,3.336536,2.733949,0,2.733949,0,NA,NA,9,9,4,145,371,371,2012,5,6,1,0,0,0,0,1,NA,NA,IPU,ElectionGuide; IPU; idea.int; Carr,No evidence to suggest tier2_formula has changed
L-ARM-2017-4-2,Armenia,"April 02, 2017",0,2,9,25,25,NA,NA,NA,1,0,105,4.15,13,51,48.5714285714286,1,0,0,3.0262313735459,0.055,3.05419050207838,2.47474747474747,0,2.47474747474747,0,NA,NA,9,9,4,145,371,371,2017,4,2,0,NA,0,0,0,1,NA,NA,Carr,,Four seats reserved four minorities and elected on separate lists
L-ARM-2018-12-9,Armenia,"December 09, 2018",0,2,9,25,25,NA,NA,NA,1,0,132,5,13,67,50.7575757575758,1,0,0,1.94439043359907,0.063,1.95951255165765,1.99268069533394,0,1.99268069533394,0,NA,NA,9,9,4,145,371,371,2018,12,9,0,NA,0,1,0,1,NA,NA,"Carr, Freedomhouse",https://en.wikipedia.org/wiki/2018_Armenian_parliamentary_election,"Minimum 101 seats; winning party gained more than two thirds of the seats, second and third-largest parties got compensatory seats which is why number of seats increased relative to last election."
L-AUL-1946-9-28,Australia,"September 28, 1946",0,1,3,5,NA,NA,NA,NA,0,0,74,1,74,0,0,0,0,0,2.74,2.3,2.74,2.4,1.4,2.4,0,NA,NA,10,5,3,129,900,900,1946,9,28,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1949-12-10,Australia,"December 10, 1949",0,1,3,5,NA,NA,NA,NA,0,0,121,1,121,0,0,0,0,0,2.64,2.2,2.64,2.62,0,2.62,0,NA,NA,10,5,3,129,900,900,1949,12,10,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1951-4-28,Australia,"April 28, 1951",0,1,3,5,NA,NA,NA,NA,0,0,121,1,121,0,0,0,0,0,2.49,1,2.49,2.56,0,2.56,0,NA,NA,10,5,3,129,900,900,1951,4,28,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1954-5-29,Australia,"May 29, 1954",0,1,3,5,NA,NA,NA,NA,0,0,121,1,121,0,0,0,0,0,2.46,1.7,2.46,2.55,0,2.55,0,NA,NA,10,5,3,129,900,900,1954,5,29,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1955-12-10,Australia,"December 10, 1955",0,1,3,5,NA,NA,NA,NA,0,0,122,1,122,0,0,0,0,0,2.73,1.4,2.735,2.58,0,2.58,0,NA,NA,10,5,3,129,900,900,1955,12,10,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1958-11-22,Australia,"November 22, 1958",0,1,3,5,NA,NA,NA,NA,0,0,122,1,122,0,0,0,0,0,2.97,0.7,2.97,2.59,0,2.59,0,NA,NA,10,5,3,129,900,900,1958,11,22,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1961-12-9,Australia,"December 09, 1961",0,1,3,5,NA,NA,NA,NA,0,0,122,1,122,0,0,0,0,0,2.81,0.9,2.81,2.52,0,2.52,0,NA,NA,10,5,3,129,900,900,1961,12,9,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1963-11-30,Australia,"November 30, 1963",0,1,3,5,NA,NA,NA,NA,0,0,122,1,122,0,0,0,0,0,2.79,0.5,2.79,2.66,0,2.66,0,NA,NA,10,5,3,129,900,900,1963,11,30,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1966-11-26,Australia,"November 26, 1966",0,1,3,5,NA,NA,NA,NA,0,0,124,1,124,0,0,0,0,0,2.98,1.5,2.98,2.63,0.8,2.63,0,NA,NA,10,5,3,129,900,900,1966,11,26,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1969-10-25,Australia,"October 25, 1969",0,1,3,5,NA,NA,NA,NA,0,0,125,1,125,0,0,0,0,0,2.83,2.7,2.83,2.61,0,2.61,0,NA,NA,10,5,3,129,900,900,1969,10,25,0,1,NA,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1972-12-2,Australia,"December 02, 1972",0,1,3,5,NA,NA,NA,NA,0,0,125,1,125,0,0,0,0,0,2.77,1.1,2.77,2.47,0,2.47,0,NA,NA,10,5,3,129,900,900,1972,12,2,0,1,1,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1974-5-18,Australia,"May 18, 1974",0,1,3,5,NA,NA,NA,NA,0,0,127,1,127,0,0,0,0,0,2.66,0.4,2.66,2.52,0,2.52,0,NA,NA,10,5,3,129,900,900,1974,5,18,0,1,1,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1975-12-13,Australia,"December 13, 1975",0,1,3,5,NA,NA,NA,NA,0,0,127,1,127,0,0,0,0,0,2.69,1.4,2.7,2.51,0,2.51,0,NA,NA,10,5,3,129,900,900,1975,12,13,0,1,1,1,1,1,NA,NA,Psephos,nohlen,
L-AUL-1977-12-10,Australia,"December 10, 1977",0,1,3,5,NA,NA,NA,NA,0,0,124,1,124,0,0,0,0,0,3.11,1.1,3.115,2.45,0,2.45,0,NA,NA,10,5,3,129,900,900,1977,12,10,0,1,1,1,1,1,NA,NA,Psephos,nohlen,
